Rank,Company_Name,Revenue_$M,Revenue_change%,Profits_$M,Profits_change%,Assets_$M,Market_Value_$M,Employees
359,Yum China Holdings,9853,19.2,990,26.3,13223,17679.0,298500
360,Asbury Automotive Group,9838,37.9,532,109.3,8003,3714.8,14200
361,Owens & Minor,9785,12.4,222,641.8,3537,3375.6,17300
362,Public Service Enterprise Group,9722,1.2,-648,-134.0,48999,35145.5,12684
363,United Rentals,9716,13.9,1386,55.7,20292,25643.3,20400
364,MGM Resorts International,9680,87.5,1254,0.0,40899,18257.9,60500
365,Ryder System,9663,14.8,519,0.0,13834,4055.4,42800
366,Intuit,9633,25.4,2062,12.9,15516,135987.6,17350
367,Cincinnati Financial,9630,27.8,2946,142.2,31387,21813.3,5166
368,Erie Insurance Group,9620,11.0,1130,-3.7,27297,13000.0,5805
369,Univar Solutions,9536,15.4,461,770.7,6778,5459.8,9450
370,Huntington Ingalls Industries,9524,1.7,544,-21.8,10627,7991.0,44000
371,W.R. Berkley,9456,16.7,1023,92.7,32086,17658.8,7681
372,Western & Southern Financial Group,9442,17.2,361,76.7,62877,8610.0,2538
373,Insight Enterprises,9436,13.1,219,27.1,4689,3745.1,11624
374,News Corp.,9358,3.9,330,0.0,16771,13127.7,24000
375,American Tower,9357,16.4,2568,51.9,69888,114527.4,6378
376,Old Republic International,9342,30.4,1534,174.7,24982,7972.8,9600
377,Burlington Stores,9322,61.7,409,0.0,7090,12112.8,38599
378,Avis Budget Group,9313,72.4,1285,0.0,22600,14157.0,18500
379,ODP,9267,-4.6,-208,0.0,4865,2222.2,26000
380,VF,9239,-21.0,408,-40.0,13754,22112.9,33600
381,Bed Bath & Beyond,9233,-17.3,-151,0.0,6457,2170.5,37600
382,Seaboard,9229,29.5,570,101.4,7503,4881.6,13200
383,First American Financial,9221,30.1,1241,78.2,16451,7087.2,22233
384,Intercontinental Exchange,9168,11.2,4058,94.3,193502,74044.8,8858
385,PVH,9155,28.4,952,0.0,12397,5210.0,25000
386,Apollo Global Management,9124,332.2,1839,1073.9,30502,37194.0,2153
387,Jefferies Financial Group,9040,30.0,1674,116.0,60404,7933.9,5556
388,Hershey,8971,10.1,1478,15.5,10412,44461.5,17805
389,NVR,8970,18.6,1237,37.2,5835,15010.5,6600
390,Foot Locker,8958,18.7,893,176.5,8135,2850.0,33244
391,Dana,8945,25.9,197,0.0,7632,2544.4,40200
392,SpartanNash,8931,-4.5,74,-2.8,2207,1185.1,13300
393,Olin,8911,54.8,1297,0.0,8518,8062.0,7750
394,Chewy,8891,24.4,-74,0.0,2086,17147.3,21300
395,Jackson Financial,8848,0.0,3183,0.0,375484,3895.1,3150
